Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk
Brittanyyx21.txt	1	1355	30.41	48.23	72.43	21.25	43.71	13.87	84.43	6.20	2.88	3.17	0.15	1.55	0.44	11.07	0.15	0.66	1.25	0.52	3.69	1.33	0.81	0.37	0.89	5.24	2.14	0.89	1.03	1.33	0.30
alaynarenay.txt	1	10183	38.12	50.12	62.32	93.87	21.53	14.48	80.51	9.67	7.02	2.63	0.15	1.72	0.37	10.02	0.60	0.64	1.15	0.78	3.54	1.32	0.28	0.66	0.83	7.14	2.27	1.65	2.38	2.25	0.24
_FollowMyTrelle.txt	1	2719	48.68	49.71	45.13	87.53	10.88	17.91	75.03	10.45	7.02	3.42	0.15	1.95	0.48	9.64	1.21	0.11	0.77	1.73	2.87	1.10	0.70	0.22	0.40	6.14	1.95	1.32	1.32	1.77	0.33
getsuperrsonic.txt	1	694	5.70	9.26	89.07	5.65	36.53	12.10	85.88	6.48	2.31	4.18	0.14	2.59	0.29	8.93	0.00	0.00	0.00	0.14	6.77	1.87	1.59	1.15	2.02	5.04	1.01	0.58	1.59	1.30	0.58
rockyd_.txt	1	2115	53.59	64.93	24.85	95.43	21.36	18.49	70.97	12.15	8.42	3.74	0.14	1.51	1.18	8.89	0.80	0.57	0.66	0.95	2.84	0.61	0.33	0.95	0.76	7.23	2.27	1.13	2.70	1.51	0.52
sober_af.txt	1	705	72.33	44.37	35.21	86.94	16.02	18.01	57.45	4.96	4.26	0.71	0.14	0.14	0.28	4.68	0.14	0.43	0.43	0.00	0.28	0.00	0.14	0.00	0.28	2.55	0.85	0.71	0.43	0.71	0.00
joe_patrick16.txt	1	2116	46.05	52.46	82.50	35.69	75.57	17.30	79.25	6.14	3.36	2.79	0.14	1.32	0.28	9.45	0.38	1.28	0.33	1.04	2.88	0.76	0.52	0.85	0.57	7.61	2.93	0.71	1.65	1.84	0.57
Daddy_Pask.txt	1	5650	38.12	49.08	55.21	36.34	17.07	13.06	80.34	6.18	3.36	2.76	0.14	1.17	0.58	9.54	0.51	0.46	1.20	0.78	4.64	1.65	0.62	0.46	1.88	5.98	1.45	1.17	1.75	1.79	0.57
TristanDesnerck.txt	1	9456	52.92	52.12	56.60	39.58	32.49	16.63	74.70	5.71	3.23	2.45	0.14	1.30	0.31	9.87	0.61	0.79	0.73	1.14	4.07	1.39	0.72	1.00	1.00	6.50	2.22	0.99	2.13	1.58	0.35
madiRcoonce.txt	1	2910	39.78	26.01	69.67	41.95	53.89	13.54	80.93	7.42	4.12	3.23	0.14	1.58	0.72	6.32	0.52	0.45	0.93	0.93	3.95	1.31	0.45	0.79	1.44	6.67	1.99	1.20	1.75	1.65	0.55
